system:index,loss_label,past_loss,rainfall_anomaly,rainfall_total,spi,treecover2000,.geo
644,0,0,2640.466756813228,18191.00366538763,1.1101485160399367,76,"{""type"":""Point"",""coordinates"":[76.76164141864072,9.667633124042409]}"
652,1,0,1173.7216860450808,10495.13494193554,0.5963872749029485,59,"{""type"":""Point"",""coordinates"":[93.15791810419145,26.485939416422173]}"
662,0,0,1373.7241101773452,10680.704352736473,0.6082512600914542,74,"{""type"":""Point"",""coordinates"":[92.3684390444815,26.045557757292702]}"
673,0,0,1431.8998663341627,10964.771777838469,0.656543493811374,73,"{""type"":""Point"",""coordinates"":[92.98592059979727,25.502235439202966]}"
675,0,0,-648.8554148583207,3441.3861109912395,-0.37252960526557094,34,"{""type"":""Point"",""coordinates"":[78.06218020054229,31.21361751098135]}"
679,0,0,1645.308687296454,15101.507409214973,0.5503001282170885,57,"{""type"":""Point"",""coordinates"":[92.08924681515674,24.370764498541142]}"
690,1,0,1643.671272236108,14000.38625446707,0.5718539714277965,38,"{""type"":""Point"",""coordinates"":[92.77804903238449,25.294797023192075]}"
703,1,0,1315.9701230049131,6295.932569861412,0.9380269732978553,51,"{""type"":""Point"",""coordinates"":[96.24191236658125,28.6809827930729]}"
745,0,1,1071.770098781586,11746.566070199013,0.48950580358260687,81,"{""type"":""Point"",""coordinates"":[94.15608789305854,26.211720948104016]}"
749,0,0,-2046.6743987616737,6814.553413838148,-0.5172538912929768,26,"{""type"":""Point"",""coordinates"":[76.2477258792339,32.30639524580269]}"
756,0,0,-328.81274387530266,5420.495150566101,-0.2463645166099365,74,"{""type"":""Point"",""coordinates"":[80.23345021812952,29.362777504927077]}"
763,0,1,233.6858439468433,7083.096179842949,0.22290263719489728,50,"{""type"":""Point"",""coordinates"":[80.56518999286772,22.172011702045435]}"
767,0,1,1557.5934312961072,11108.323840994388,0.7642364929044692,93,"{""type"":""Point"",""coordinates"":[93.83083602093667,6.9950021232540704]}"
774,0,1,905.5471198678024,10349.694601297379,0.4701557514804827,85,"{""type"":""Point"",""coordinates"":[93.5178769840011,26.489247630603145]}"
779,1,0,2214.7927913323038,13959.084925353527,1.2145492780642777,78,"{""type"":""Point"",""coordinates"":[77.02035096285238,9.709227286457319]}"
796,0,0,893.9068133394858,8460.129388526082,0.5995449787239043,26,"{""type"":""Point"",""coordinates"":[84.51023268692846,20.147261177218056]}"
814,1,0,1843.9320507910106,13251.09111943841,0.6329740908575745,73,"{""type"":""Point"",""coordinates"":[92.40121642518565,25.534170866582055]}"
830,0,1,965.8288187175986,9963.720487713814,0.5107024445847744,88,"{""type"":""Point"",""coordinates"":[93.49707612608152,26.264548464611703]}"
861,1,0,2377.201248311996,15581.618398398161,0.8048067450007882,54,"{""type"":""Point"",""coordinates"":[95.96201510183049,28.02822528563508]}"
885,0,0,2939.3628806568686,16203.438234090805,1.430668841077544,76,"{""type"":""Point"",""coordinates"":[76.91399973409665,9.182754564083158]}"
896,0,0,1315.1351782381535,12820.248128414154,0.5978171322615945,41,"{""type"":""Point"",""coordinates"":[95.18732265234573,26.699007238882647]}"
902,0,1,1025.2274311939254,21828.861805081367,0.23033772580383843,50,"{""type"":""Point"",""coordinates"":[91.20934487458005,25.243378307719265]}"
916,1,0,1261.5034483194358,12161.117912054062,0.687684354407569,82,"{""type"":""Point"",""coordinates"":[94.67089715846826,27.96162398198558]}"
921,0,0,2614.295120337232,15711.22345149517,1.1005447292988135,36,"{""type"":""Point"",""coordinates"":[76.16957481178369,11.235356758510077]}"
928,0,1,829.3804506906508,7952.816307492554,0.5999682434951342,37,"{""type"":""Point"",""coordinates"":[81.03217818714866,19.53926631634856]}"
934,1,0,1927.4307484226301,13147.611847400665,0.6662067403911485,79,"{""type"":""Point"",""coordinates"":[92.37377656038976,25.61779274989636]}"
951,0,0,677.7523793647542,12498.789959847927,0.2736291155153535,32,"{""type"":""Point"",""coordinates"":[91.38432278550567,23.347844096900296]}"
974,0,0,1680.6643446221951,8938.892493605614,1.3760576382078173,81,"{""type"":""Point"",""coordinates"":[77.05034194959407,10.441806637272789]}"
975,0,1,3226.5628783095635,14811.358748555183,1.431476509893141,76,"{""type"":""Point"",""coordinates"":[77.165929790878,9.31213988623861]}"
982,0,1,560.171491996116,5027.850620061159,0.9369001346635671,41,"{""type"":""Point"",""coordinates"":[79.43168382467397,14.075091021112092]}"
996,1,0,2090.0428345615037,16830.300523757935,0.6615941656059551,92,"{""type"":""Point"",""coordinates"":[92.78690905846582,12.395718946671574]}"
1012,0,0,942.6366201639175,17610.673378825188,0.2331993176601718,56,"{""type"":""Point"",""coordinates"":[90.71268936161792,25.365815058247968]}"
1021,1,0,2698.1357562484336,9437.344986051321,1.6499019264628227,36,"{""type"":""Point"",""coordinates"":[74.96222709994588,14.77205618653949]}"
1024,1,0,815.05058478918,9923.645812571049,0.42379589997043615,83,"{""type"":""Point"",""coordinates"":[94.6562360575534,24.88860579938048]}"
1048,0,0,1715.6330658678198,13756.265863120556,0.6556205505002691,38,"{""type"":""Point"",""coordinates"":[95.79643620804599,27.41219820868252]}"
1074,1,0,1394.4778802179844,11398.492049217224,0.7968735709848421,36,"{""type"":""Point"",""coordinates"":[88.60820121188216,27.003768793183603]}"
1079,0,0,693.902058740845,13559.84380030632,0.30537377325318926,92,"{""type"":""Point"",""coordinates"":[93.86386172482959,27.215518602469434]}"
1088,0,1,-80.31577379160444,6345.027587413788,-0.05751145651593475,56,"{""type"":""Point"",""coordinates"":[74.86519641426771,33.201733946500624]}"
1099,1,0,1990.4818798866127,14667.280040189624,0.6144263209249432,69,"{""type"":""Point"",""coordinates"":[92.30431355023784,25.50268817683207]}"
1103,1,0,984.5072497141955,8204.59738433361,0.7094857366031723,26,"{""type"":""Point"",""coordinates"":[86.40867846329799,22.08395885299196]}"
1104,0,0,1362.8254303812973,13204.643825411797,0.571211845399359,35,"{""type"":""Point"",""coordinates"":[95.45811545196257,27.51560350655766]}"
1139,0,1,806.7110977172852,9664.22261607647,0.44141993018625336,89,"{""type"":""Point"",""coordinates"":[93.94654516624257,25.718560614674377]}"
1157,0,0,1032.2020431131132,9644.433343410492,0.5841469898647097,86,"{""type"":""Point"",""coordinates"":[93.43409875695795,26.12476336919049]}"
1183,1,0,965.268987575173,9013.825187921524,0.5612356891746254,70,"{""type"":""Point"",""coordinates"":[94.48248585883924,24.726153760602415]}"
1188,0,0,1159.3542322782205,7640.7498244047165,0.9858706747999407,52,"{""type"":""Point"",""coordinates"":[80.2340736716625,18.133896284877647]}"
1190,0,0,988.3170240218196,8383.326836407185,0.6588506751287998,25,"{""type"":""Point"",""coordinates"":[83.715152149532,19.375395855892748]}"
1212,0,0,2128.502981369569,14340.09472322464,1.2287766526131734,82,"{""type"":""Point"",""coordinates"":[77.06496711257498,9.113194297801803]}"
1218,0,0,-648.2027957957325,4561.4739944934845,-0.3676579108738151,25,"{""type"":""Point"",""coordinates"":[78.69469361093469,30.449359537530388]}"
1246,1,0,1415.9696085751057,10895.721101760864,0.8229171273274808,92,"{""type"":""Point"",""coordinates"":[94.00218819747695,27.505822418254553]}"
1260,0,0,680.420944935533,7525.261603176594,0.5329584936379226,49,"{""type"":""Point"",""coordinates"":[81.2488504150188,20.192186935439405]}"
1262,1,0,2476.8811558281996,20552.503227978945,0.7175629683284048,63,"{""type"":""Point"",""coordinates"":[75.21492240719667,12.708842723486148]}"
1264,0,0,935.4351915152274,8371.71087050438,0.7743644378740462,76,"{""type"":""Point"",""coordinates"":[83.58402709919045,27.356936591890598]}"
1271,0,0,915.0719788244696,7419.79834061861,0.6681538093212794,55,"{""type"":""Point"",""coordinates"":[84.35996486840767,19.26680390098678]}"
1273,0,1,625.3293120622639,7986.513133764267,0.4181648043333831,59,"{""type"":""Point"",""coordinates"":[94.59987428713163,25.55464480903101]}"
1283,0,1,1489.3701625209305,11714.98290526867,0.6431305250340983,36,"{""type"":""Point"",""coordinates"":[96.79462132798037,27.628568001053843]}"
1289,1,0,3313.163285556435,18639.817024707794,1.2958081809221962,69,"{""type"":""Point"",""coordinates"":[76.73373795134215,9.628539917002431]}"
1303,0,0,1432.2371136850034,12905.687507152557,0.5678694273560287,73,"{""type"":""Point"",""coordinates"":[92.75276165852289,23.254738272918097]}"
1307,0,0,1729.482080441714,14785.477552175522,0.5562364597214995,60,"{""type"":""Point"",""coordinates"":[93.10687716098874,24.8314419284321]}"
1384,0,0,592.0456959128387,15938.658755481243,0.16284401656341072,48,"{""type"":""Point"",""coordinates"":[90.23936292096212,25.30750088370625]}"
1385,0,0,3325.530182123184,16080.739837884903,1.3960962629110407,83,"{""type"":""Point"",""coordinates"":[76.71425456100643,10.263769483489613]}"
1386,0,0,2456.1188453346494,18225.02234172821,1.0568879408465557,62,"{""type"":""Point"",""coordinates"":[76.5844003569485,10.045457337748921]}"
1395,1,0,2170.988275286294,14496.725252866745,0.7957512372360979,71,"{""type"":""Point"",""coordinates"":[95.9281801610838,28.168921892818485]}"
1397,0,0,847.8732468426224,10494.317957997322,0.44151044319159405,70,"{""type"":""Point"",""coordinates"":[93.70294591958286,26.147241378016894]}"
1403,0,0,1632.6965236541873,15587.434674561024,0.5452249012201065,39,"{""type"":""Point"",""coordinates"":[89.48196170973692,26.64567869926407]}"
1415,0,1,3791.050053578758,18387.705736983567,1.1582946237511313,70,"{""type"":""Point"",""coordinates"":[74.67905263347934,14.323741999311851]}"
1419,1,0,683.7342213362454,7412.496057510376,0.4592765416468264,64,"{""type"":""Point"",""coordinates"":[94.11680248028482,25.0105934483137]}"
1422,0,1,4199.067625646479,18081.686580240726,1.3815757656966778,70,"{""type"":""Point"",""coordinates"":[75.42747886489136,13.369079986081664]}"
1440,0,0,1305.995133990049,11984.341587305069,0.6382548967759072,82,"{""type"":""Point"",""coordinates"":[95.0767173009032,26.59747122225035]}"
1454,0,0,245.01352741867322,6908.250609397888,0.2029768042801897,86,"{""type"":""Point"",""coordinates"":[92.72261240321474,27.215978302935007]}"
1464,0,0,916.3213570252065,17113.510493695736,0.23385604425252562,46,"{""type"":""Point"",""coordinates"":[90.34708902687544,25.354080663237063]}"
1465,1,0,2025.8222089948285,14213.94777417183,0.722833404934428,91,"{""type"":""Point"",""coordinates"":[92.80810091860135,24.016950088951063]}"
1476,0,0,938.2244122147558,8333.184730052948,0.5223449256959701,53,"{""type"":""Point"",""coordinates"":[93.6647784134654,24.764161404275885]}"
